technique,image_id,roi_index,roi_pixels_w,roi_pixels_h,roi_binary_bytes,roi_base64_chars,roi_base64_bytes_utf8,roi_data_url_bytes_utf8,roi_x,roi_y,roi_box_w,roi_box_h,roi_score,roi_label
GazeRoi+GlobalThumb,100021_103_1.jpg,0,207,155,9376,12504,12504,12527,0,66,207,155,1.000000,
GazeRoi+GlobalThumb,100021_103_2.jpg,0,113,95,4212,5616,5616,5639,94,84,113,95,1.000000,
GazeRoi+GlobalThumb,100021_103_3.jpg,0,98,46,1795,2396,2396,2419,70,3,98,46,1.000000,
GazeRoi+GlobalThumb,100037_80_1.jpg,0,91,60,3345,4460,4460,4483,21,87,91,60,1.000000,
GazeRoi+GlobalThumb,100037_80_2.jpg,0,144,130,9409,12548,12548,12571,63,7,144,130,1.000000,
GazeRoi+GlobalThumb,100037_80_3.jpg,0,71,46,1927,2572,2572,2595,129,168,71,46,1.000000,
GazeRoi+GlobalThumb,100037_80_all.jpg,0,168,67,6265,8356,8356,8379,21,84,168,67,1.000000,
GazeRoi+GlobalThumb,100078_71_1.jpg,0,43,49,1170,1560,1560,1583,129,35,43,49,1.000000,
GazeRoi+GlobalThumb,100078_71_2.jpg,0,60,56,1688,2252,2252,2275,115,63,60,56,1.000000,
GazeRoi+GlobalThumb,100111_15_1.jpg,0,95,200,8378,11172,11172,11195,49,7,95,200,1.000000,
GazeRoi+GlobalThumb,100111_15_2.jpg,0,151,154,10002,13336,13336,13359,52,70,151,154,1.000000,
GazeRoi+GlobalThumb,100111_15_3.jpg,0,91,78,3227,4304,4304,4327,133,94,91,78,1.000000,
GazeRoi+GlobalThumb,100111_15_4.jpg,0,60,67,2007,2676,2676,2699,14,10,60,67,1.000000,
GazeRoi+GlobalThumb,100111_15_5.jpg,0,35,39,825,1100,1100,1123,189,21,35,39,1.000000,
GazeRoi+GlobalThumb,100132_84_1.jpg,0,91,88,3860,5148,5148,5171,63,91,91,88,1.000000,
GazeRoi+GlobalThumb,100132_84_3.jpg,0,126,137,6930,9240,9240,9263,63,28,126,137,1.000000,
GazeRoi+GlobalThumb,100132_84_4.jpg,0,91,186,6819,9092,9092,9115,112,14,91,186,1.000000,
GazeRoi+GlobalThumb,100142_35_1.jpg,0,60,85,2772,3696,3696,3719,105,73,60,85,1.000000,
GazeRoi+GlobalThumb,100142_35_2.jpg,0,42,39,1559,2080,2080,2103,140,56,42,39,1.000000,
GazeRoi+GlobalThumb,100142_35_3.jpg,0,70,46,1886,2516,2516,2539,147,168,70,46,1.000000,
GazeRoi+GlobalThumb,100142_35_4.jpg,0,99,74,3088,4120,4120,4143,3,52,99,74,1.000000,
GazeRoi+GlobalThumb,100142_35_5.jpg,0,78,46,1997,2664,2664,2687,10,49,78,46,1.000000,
GazeRoi+GlobalThumb,100142_35_6.jpg,0,137,53,2429,3240,3240,3263,3,10,137,53,1.000000,
GazeRoi+GlobalThumb,100157_47_1.jpg,0,123,105,3767,5024,5024,5047,101,35,123,105,1.000000,
GazeRoi+GlobalThumb,100157_47_2.jpg,0,42,43,801,1068,1068,1091,154,87,42,43,1.000000,
GazeRoi+GlobalThumb,100157_47_3.jpg,0,109,102,5062,6752,6752,6775,73,87,109,102,1.000000,
GazeRoi+GlobalThumb,100157_47_4.jpg,0,67,71,3086,4116,4116,4139,7,80,67,71,1.000000,
GazeRoi+GlobalThumb,100157_47_5.jpg,0,95,161,6092,8124,8124,8147,21,21,95,161,1.000000,
GazeRoi+GlobalThumb,100157_47_6.jpg,0,49,50,1290,1720,1720,1743,28,31,49,50,1.000000,
GazeRoi+GlobalThumb,100157_47_7.jpg,0,71,67,1912,2552,2552,2575,17,21,71,67,1.000000,
GazeRoi+GlobalThumb,100209_103_1.jpg,0,88,102,2749,3668,3668,3691,52,63,88,102,1.000000,
GazeRoi+GlobalThumb,100215_4_1.jpg,0,189,98,7031,9376,9376,9399,14,70,189,98,1.000000,
