technique,image_id,roi_index,roi_pixels_w,roi_pixels_h,roi_binary_bytes,roi_base64_chars,roi_base64_bytes_utf8,roi_data_url_bytes_utf8,roi_x,roi_y,roi_box_w,roi_box_h,roi_score,roi_label
GazeRoi+GlobalThumb,100021_103_1.jpg,0,32,32,811,1084,1084,1107,192,192,32,32,1.000000,
GazeRoi+GlobalThumb,100021_103_2.jpg,0,31,31,781,1044,1044,1067,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100021_103_3.jpg,0,31,31,781,1044,1044,1067,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100037_80_1.jpg,0,31,31,899,1200,1200,1223,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100037_80_2.jpg,0,31,31,899,1200,1200,1223,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100037_80_3.jpg,0,31,31,899,1200,1200,1223,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100037_80_all.jpg,0,31,31,899,1200,1200,1223,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100078_71_1.jpg,0,32,32,955,1276,1276,1299,192,192,32,32,1.000000,
GazeRoi+GlobalThumb,100078_71_2.jpg,0,31,31,910,1216,1216,1239,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100111_15_1.jpg,0,31,31,821,1096,1096,1119,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100111_15_2.jpg,0,31,31,821,1096,1096,1119,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100111_15_3.jpg,0,31,31,821,1096,1096,1119,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100111_15_4.jpg,0,31,31,821,1096,1096,1119,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100111_15_5.jpg,0,31,31,821,1096,1096,1119,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100132_84_1.jpg,0,31,31,960,1280,1280,1303,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100132_84_3.jpg,0,31,31,960,1280,1280,1303,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100132_84_4.jpg,0,31,31,960,1280,1280,1303,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100142_35_1.jpg,0,31,31,927,1236,1236,1259,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100142_35_2.jpg,0,31,31,927,1236,1236,1259,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100142_35_3.jpg,0,31,31,927,1236,1236,1259,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100142_35_4.jpg,0,32,32,978,1304,1304,1327,192,192,32,32,1.000000,
GazeRoi+GlobalThumb,100142_35_5.jpg,0,31,31,927,1236,1236,1259,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100142_35_6.jpg,0,31,31,927,1236,1236,1259,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100157_47_1.jpg,0,31,31,841,1124,1124,1147,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100157_47_2.jpg,0,31,31,841,1124,1124,1147,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100157_47_3.jpg,0,31,31,841,1124,1124,1147,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100157_47_4.jpg,0,31,31,841,1124,1124,1147,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100157_47_5.jpg,0,31,31,841,1124,1124,1147,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100157_47_6.jpg,0,31,31,841,1124,1124,1147,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100157_47_7.jpg,0,31,31,841,1124,1124,1147,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100209_103_1.jpg,0,31,31,690,920,920,943,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100215_4_1.jpg,0,31,31,870,1160,1160,1183,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100215_4_2.jpg,0,31,31,870,1160,1160,1183,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100215_4_3.jpg,0,31,31,870,1160,1160,1183,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100215_4_4.jpg,0,31,31,870,1160,1160,1183,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100226_77_1.jpg,0,31,31,786,1048,1048,1071,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100226_77_2.jpg,0,31,31,786,1048,1048,1071,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100226_77_all.jpg,0,31,31,786,1048,1048,1071,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100245_49_1.jpg,0,31,31,712,952,952,975,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100245_49_2.jpg,0,31,31,712,952,952,975,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100245_49_all.jpg,0,31,31,712,952,952,975,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100271_64_1.jpg,0,31,31,706,944,944,967,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100271_64_2.jpg,0,31,31,706,944,944,967,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100271_64_3.jpg,0,31,31,706,944,944,967,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100271_64_4.jpg,0,31,31,706,944,944,967,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100271_64_5.jpg,0,31,31,706,944,944,967,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100344_7_1.jpg,0,31,31,826,1104,1104,1127,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100344_7_3.jpg,0,31,31,826,1104,1104,1127,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100344_7_4.jpg,0,31,31,826,1104,1104,1127,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100344_7_5.jpg,0,31,31,826,1104,1104,1127,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100344_7_6.jpg,0,31,31,826,1104,1104,1127,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100344_7_7.jpg,0,31,31,826,1104,1104,1127,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100395_45_1.jpg,0,31,31,787,1052,1052,1075,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100395_45_2.jpg,0,31,31,787,1052,1052,1075,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100395_45_3.jpg,0,31,31,787,1052,1052,1075,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100395_45_4.jpg,0,31,31,787,1052,1052,1075,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100396_53_1.jpg,0,31,31,889,1188,1188,1211,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100396_53_2.jpg,0,31,31,889,1188,1188,1211,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100396_53_3.jpg,0,31,31,889,1188,1188,1211,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100396_53_all.jpg,0,31,31,889,1188,1188,1211,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100407_48_1.jpg,0,31,31,975,1300,1300,1323,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100407_48_2.jpg,0,31,31,975,1300,1300,1323,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100407_48_3.jpg,0,31,31,975,1300,1300,1323,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100409_6_1.jpg,0,31,31,873,1164,1164,1187,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100409_6_2.jpg,0,31,31,873,1164,1164,1187,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100409_6_3.jpg,0,31,31,873,1164,1164,1187,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100413_53_1.jpg,0,32,32,1110,1480,1480,1503,192,192,32,32,1.000000,
GazeRoi+GlobalThumb,100413_53_2.jpg,0,31,31,1102,1472,1472,1495,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100482_51_1.jpg,0,31,31,906,1208,1208,1231,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100482_51_all.jpg,0,31,31,906,1208,1208,1231,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100485_68_1.jpg,0,31,31,936,1248,1248,1271,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100485_68_2.jpg,0,31,31,936,1248,1248,1271,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100485_68_3.jpg,0,31,31,936,1248,1248,1271,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100486_82_1.jpg,0,31,31,784,1048,1048,1071,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100486_82_2.jpg,0,32,32,812,1084,1084,1107,192,192,32,32,1.000000,
GazeRoi+GlobalThumb,100486_82_3.jpg,0,31,31,784,1048,1048,1071,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100486_82_4.jpg,0,31,31,784,1048,1048,1071,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100486_82_all.jpg,0,31,31,784,1048,1048,1071,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100539_47_1.jpg,0,31,31,890,1188,1188,1211,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100539_47_2.jpg,0,31,31,890,1188,1188,1211,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100539_47_3.jpg,0,31,31,890,1188,1188,1211,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100539_47_6.jpg,0,31,31,890,1188,1188,1211,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100564_62_1.jpg,0,31,31,816,1088,1088,1111,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100564_62_2.jpg,0,31,31,816,1088,1088,1111,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100564_62_3.jpg,0,31,31,816,1088,1088,1111,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100564_62_all.jpg,0,31,31,816,1088,1088,1111,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100581_5_1.jpg,0,31,31,871,1164,1164,1187,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100581_5_2.jpg,0,31,31,871,1164,1164,1187,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100581_5_3.jpg,0,31,31,871,1164,1164,1187,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100581_5_4.jpg,0,31,31,871,1164,1164,1187,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100599_17_1.jpg,0,31,31,705,940,940,963,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100599_17_2.jpg,0,31,31,705,940,940,963,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100599_17_3.jpg,0,31,31,705,940,940,963,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100599_17_4.jpg,0,31,31,705,940,940,963,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100603_64_1.jpg,0,31,31,729,972,972,995,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100603_64_2.jpg,0,31,31,729,972,972,995,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100603_64_3.jpg,0,31,31,729,972,972,995,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100603_64_4.jpg,0,31,31,729,972,972,995,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100603_64_5.jpg,0,32,32,760,1016,1016,1039,192,192,32,32,1.000000,
GazeRoi+GlobalThumb,100603_64_6.jpg,0,32,32,760,1016,1016,1039,192,192,32,32,1.000000,
GazeRoi+GlobalThumb,100638_45_1.jpg,0,31,31,722,964,964,987,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100638_45_2.jpg,0,31,31,722,964,964,987,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100638_45_3.jpg,0,31,31,722,964,964,987,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100638_45_4.jpg,0,31,31,722,964,964,987,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100638_45_5.jpg,0,31,31,722,964,964,987,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100667_80_1.jpg,0,31,31,924,1232,1232,1255,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100667_80_all.jpg,0,31,31,924,1232,1232,1255,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100668_102_1.jpg,0,31,31,982,1312,1312,1335,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100668_102_2.jpg,0,31,31,982,1312,1312,1335,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100668_102_3.jpg,0,31,31,982,1312,1312,1335,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100668_102_all.jpg,0,31,31,982,1312,1312,1335,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100669_8_1.jpg,0,31,31,1063,1420,1420,1443,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100669_8_2.jpg,0,31,31,1063,1420,1420,1443,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100669_8_3.jpg,0,31,31,1063,1420,1420,1443,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100669_8_4.jpg,0,31,31,1063,1420,1420,1443,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100753_70_1.jpg,0,31,31,939,1252,1252,1275,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100753_70_2.jpg,0,32,32,987,1316,1316,1339,192,192,32,32,1.000000,
GazeRoi+GlobalThumb,100753_70_all.jpg,0,31,31,939,1252,1252,1275,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100817_21_1.jpg,0,32,32,728,972,972,995,192,192,32,32,1.000000,
GazeRoi+GlobalThumb,100817_21_2.jpg,0,31,31,699,932,932,955,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100817_21_3.jpg,0,31,31,699,932,932,955,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100817_21_4.jpg,0,31,31,699,932,932,955,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,10082_58_1.jpg,0,31,31,781,1044,1044,1067,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,10082_58_2.jpg,0,31,31,781,1044,1044,1067,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,10082_58_3.jpg,0,31,31,781,1044,1044,1067,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,10082_58_4.jpg,0,31,31,781,1044,1044,1067,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,10082_58_5.jpg,0,31,31,781,1044,1044,1067,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,10082_58_6.jpg,0,31,31,781,1044,1044,1067,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100836_35_1.jpg,0,32,32,941,1256,1256,1279,192,192,32,32,1.000000,
GazeRoi+GlobalThumb,100836_35_2.jpg,0,31,31,900,1200,1200,1223,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100836_35_3.jpg,0,31,31,900,1200,1200,1223,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100836_35_all.jpg,0,31,31,900,1200,1200,1223,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100850_14_1.jpg,0,31,31,951,1268,1268,1291,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100850_14_2.jpg,0,31,31,951,1268,1268,1291,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100850_14_3.jpg,0,31,31,951,1268,1268,1291,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100850_14_4.jpg,0,31,31,951,1268,1268,1291,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100850_14_5.jpg,0,31,31,951,1268,1268,1291,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100850_14_6.jpg,0,32,32,1003,1340,1340,1363,192,192,32,32,1.000000,
GazeRoi+GlobalThumb,100850_14_7.jpg,0,32,32,1003,1340,1340,1363,192,192,32,32,1.000000,
GazeRoi+GlobalThumb,100896_17_1.jpg,0,31,31,963,1284,1284,1307,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100896_17_2.jpg,0,31,31,963,1284,1284,1307,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100896_17_3.jpg,0,31,31,963,1284,1284,1307,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100896_17_4.jpg,0,31,31,963,1284,1284,1307,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100896_17_5.jpg,0,31,31,963,1284,1284,1307,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,10094_43_1.jpg,0,31,31,921,1228,1228,1251,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,10094_43_2.jpg,0,31,31,921,1228,1228,1251,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,10094_43_3.jpg,0,31,31,921,1228,1228,1251,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100990_6_1.jpg,0,31,31,799,1068,1068,1091,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100990_6_2.jpg,0,31,31,799,1068,1068,1091,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100990_6_3.jpg,0,31,31,799,1068,1068,1091,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100990_6_4.jpg,0,31,31,799,1068,1068,1091,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,100990_6_5.jpg,0,32,32,820,1096,1096,1119,192,192,32,32,1.000000,
GazeRoi+GlobalThumb,100990_6_6.jpg,0,31,31,799,1068,1068,1091,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,101038_36_1.jpg,0,31,31,998,1332,1332,1355,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,101038_36_2.jpg,0,31,31,998,1332,1332,1355,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,101038_36_3.jpg,0,31,31,998,1332,1332,1355,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,101038_36_all.jpg,0,31,31,998,1332,1332,1355,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,10104_17_1.jpg,0,31,31,858,1144,1144,1167,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,10104_17_2.jpg,0,31,31,858,1144,1144,1167,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,10104_17_3.jpg,0,31,31,858,1144,1144,1167,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,101065_21_1.jpg,0,32,32,1029,1372,1372,1395,192,192,32,32,1.000000,
GazeRoi+GlobalThumb,101065_21_2.jpg,0,31,31,985,1316,1316,1339,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,101090_74_1.jpg,0,31,31,880,1176,1176,1199,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,101090_74_2.jpg,0,31,31,880,1176,1176,1199,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,101090_74_3.jpg,0,31,31,880,1176,1176,1199,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,101090_74_4.jpg,0,31,31,880,1176,1176,1199,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,101090_74_5.jpg,0,31,31,880,1176,1176,1199,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,101223_39_1.jpg,0,31,31,1005,1340,1340,1363,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,101223_39_2.jpg,0,31,31,1005,1340,1340,1363,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,101223_39_all.jpg,0,31,31,1005,1340,1340,1363,193,193,31,31,1.000000,
GazeRoi+GlobalThumb,101252_33_1.jpg,0,31,31,915,1220,1220,1243,193,193,31,31,1.000000,
